原问题,一级标签,二级标签,匹配理由
"我想知道我的抖音账号有没有被处罚过，咋查违规记录呀？","审核与处罚","账号处罚","咨询查询账号是否被处罚、违规记录及详情，属于账号处罚规则/查询场景"
"我想确认下我的账号有没有被处罚，咋查询呢？","审核与处罚","账号处罚","核心诉求是查询账号处罚状态及功能是否正常，归为账号处罚"
"账号被封禁/处罚在哪里申诉","审核与处罚","账号处罚","明确咨询账号封禁/处罚后的申诉路径，属于账号处罚申诉"
"AI精灵聊天功能可以在抖音直接设置么","社交","合养精灵","围绕精灵AI聊天功能的开启路径与使用方式，属于合养精灵相关问题"
"账号违规被封禁了，怎么申诉呀？","审核与处罚","账号处罚","咨询账号违规封禁后的申诉方式，直接对应账号处罚"
"我账号有点小违规，咋自助解除处罚呀？","审核与处罚","账号处罚","咨询违规后自助解封/减轻处罚入口，属于账号处罚自助解封"
"申诉违规处罚封禁提交失败怎么办？","审核与处罚","账号处罚","申诉提交失败属于账号处罚申诉流程异常"
"我想自助把账号的处罚去掉，具体咋搞呀？","审核与处罚","账号处罚","询问如何自助解除账号处罚，属于账号处罚"
"我想自助把账号处罚给解除了，该咋操作呢？","审核与处罚","账号处罚","核心是账号处罚如何自助解除，归账号处罚"
"我账号有个小处罚，能不能自己解除呀，咋弄呢？","审核与处罚","账号处罚","询问轻微处罚是否可自助解除，属于账号处罚"
"申诉违规处罚封禁后多久能有结果呀？","审核与处罚","账号处罚","咨询账号处罚申诉审核时效，属于账号处罚进度"
"为什么抖音上没有精灵AI对话功能","社交","合养精灵","精灵AI对话功能入口/资格问题，归合养精灵"
"账号封禁申诉后，多久可以获得申诉结果","审核与处罚","账号处罚","咨询账号封禁申诉结果时效，属于账号处罚申诉进度"
"为什么我的账号会被锁定","账号","账号注册/登录","账号被锁定及自助解锁属于账号安全登录使用异常，更贴近账号注册/登录"
"另一个账号受到了处罚怎么办","审核与处罚","账号处罚","明确咨询其他账号的处罚问题，标签标准中明确归账号处罚"
"手机号不用了如何找回账号","账号","账号找回","原绑定手机号不可用导致需要找回账号，属于账号找回"
"申诉违规处罚封禁超时了怎么办？","审核与处罚","账号处罚","账号处罚申诉超时，属于账号处罚进度/催审"
"为什么登录时提示需要「安全验证」","账号","账号注册/登录","登录环节出现安全验证提示，标准明确归账号注册/登录"
"账号有封禁处罚，能注销吗？","账号","账号注销","封禁状态下是否可注销，标准中明确属于账号注销"
